instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,holiday
1,01/01/11,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0,3,13,16,1
2,01/01/11,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0,8,32,40,1
3,01/01/11,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0,5,27,32,1
4,01/01/11,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0,3,10,13,1
5,01/01/11,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0,0,1,1,1
6,01/01/11,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,1
7,01/01/11,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0,2,0,2,1
8,01/01/11,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0,1,2,3,1
9,01/01/11,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0,1,7,8,1
10,01/01/11,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0,8,6,14,1
11,01/01/11,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,1
12,01/01/11,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,1
13,01/01/11,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,1
14,01/01/11,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,1
15,01/01/11,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,1
16,01/01/11,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,1
17,01/01/11,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,1
18,01/01/11,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,1
19,01/01/11,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,1
20,01/01/11,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,1
21,01/01/11,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,1
22,01/01/11,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,1
23,01/01/11,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,1
24,01/01/11,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,1
25,01/02/11,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,0
26,01/02/11,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,0
27,01/02/11,1,0,1,2,0,0,0,2,0.42,0.4242,1,0.2836,1,8,9,0
28,01/02/11,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,0
29,01/02/11,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,0
30,01/02/11,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,0
31,01/02/11,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,0
32,01/02/11,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,0
33,01/02/11,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,0
34,01/02/11,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,0
35,01/02/11,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,0
36,01/02/11,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,0
37,01/02/11,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,0
38,01/02/11,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,0
39,01/02/11,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,0
40,01/02/11,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,0
41,01/02/11,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,0
42,01/02/11,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,0
43,01/02/11,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,0
44,01/02/11,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,0
45,01/02/11,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,0
46,01/02/11,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,0
47,01/02/11,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,0
48,01/03/11,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,0
49,01/03/11,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,0
50,01/03/11,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,0
51,01/03/11,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,0
52,01/03/11,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,0
53,01/03/11,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,0
54,01/03/11,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,0
55,01/03/11,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,0
56,01/03/11,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,0
57,01/03/11,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,0
58,01/03/11,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,0
59,01/03/11,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,0
60,01/03/11,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,0
61,01/03/11,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,0
62,01/03/11,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,0
63,01/03/11,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,0
64,01/03/11,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,0
65,01/03/11,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0,8,102,110,0
66,01/03/11,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,0
67,01/03/11,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,0
68,01/03/11,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,0
69,01/03/11,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,0
70,01/04/11,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,0
71,01/04/11,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,0
72,01/04/11,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,0
73,01/04/11,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,0
74,01/04/11,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,0
75,01/04/11,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,0
76,01/04/11,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,0
77,01/04/11,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,0
78,01/04/11,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,0
79,01/04/11,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,0
80,01/04/11,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,0
81,01/04/11,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,0
82,01/04/11,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,0
83,01/04/11,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,0
84,01/04/11,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,0
85,01/04/11,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,0
86,01/04/11,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,0
87,01/04/11,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,0
88,01/04/11,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,0
89,01/04/11,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,0
90,01/04/11,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0,0,48,48,0
91,01/04/11,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,0
92,01/04/11,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,0
93,01/05/11,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0,0,6,6,0
94,01/05/11,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,0
95,01/05/11,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,0
96,01/05/11,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,0
